> LCR,SWEEP?
1.2610E2,1.1181E0,8.9436E-1,1.4500E5,-4.8192E1,-1.3642E2,1.1678E-8,9.6664E4
1.4149E2,1.1022E0,9.0732E-1,1.3762E5,-4.7782E1,-1.1464E2,1.1037E-8,9.2473E4
1.5876E2,1.0678E0,9.3652E-1,1.2872E5,-4.6878E1,-9.4188E1,1.0670E-8,8.7990E4
1.7814E2,1.0466E0,9.5549E-1,1.2278E5,-4.6304E1,-7.9312E1,1.0064E-8,8.4822E4
1.9988E2,1.0218E0,9.7865E-1,1.1591E5,-4.5618E1,-6.5963E1,9.6114E-9,8.1074E4
2.2428E2,9.9977E-1,1.0002E0,1.0930E5,-4.4993E1,-5.4836E1,9.1831E-9,7.7292E4
2.5166E2,9.7936E-1,1.0211E0,1.0302E5,-4.4403E1,-4.5585E1,8.7739E-9,7.3599E4
2.8238E2,9.5684E-1,1.0451E0,9.6359E4,-4.3737E1,-3.7547E1,8.4607E-9,6.9622E4
3.1684E2,9.3968E-1,1.0642E0,9.2029E4,-4.3218E1,-3.1656E1,7.9707E-9,6.7066E4
3.5552E2,9.1987E-1,1.0871E0,8.7058E4,-4.2610E1,-2.6385E1,7.5955E-9,6.4073E4
3.9891E2,9.0000E-1,1.1111E0,8.2069E4,-4.1987E1,-2.1904E1,7.2671E-9,6.1002E4
4.4761E2,8.8099E-1,1.1351E0,7.8434E4,-4.1380E1,-1.8436E1,6.8579E-9,5.8852E4
5.0224E2,8.6276E-1,1.1591E0,7.4465E4,-4.0786E1,-1.5415E1,6.5145E-9,5.6381E4
5.6355E2,8.4349E-1,1.1856E0,7.0797E4,-4.0147E1,-1.2891E1,6.1871E-9,5.4116E4
6.3233E2,8.2490E-1,1.2123E0,6.7051E4,-3.9519E1,-1.0739E1,5.8990E-9,5.1724E4
7.0952E2,8.0611E-1,1.2405E0,6.3750E4,-3.8872E1,-8.9746E0,5.6066E-9,4.9632E4
7.9612E2,7.9045E-1,1.2651E0,6.0689E4,-3.8324E1,-7.5235E0,5.3120E-9,4.7611E4
8.9330E2,7.7084E-1,1.2973E0,5.7735E4,-3.7626E1,-6.2800E0,5.0546E-9,4.5727E4
1.0023E3,7.5498E-1,1.3245E0,5.5044E4,-3.7052E1,-5.2663E0,4.7875E-9,4.3930E4
1.1247E3,7.3680E-1,1.3572E0,5.2451E4,-3.6383E1,-4.4028E0,4.5483E-9,4.2227E4
1.2620E3,7.2036E-1,1.3882E0,4.9772E4,-3.5768E1,-3.6689E0,4.3352E-9,4.0385E4
1.4160E3,7.0353E-1,1.4214E0,4.7899E4,-3.5128E1,-3.0978E0,4.0781E-9,3.9175E4
